VehicleId,Registration,Make,Model,Type,Year,MileageAtPurchase,CurrentMileage,NextServiceReuqiredOn,DisposeAtMileage,DailyRate,VehicleStatus,
VEH0001,1AB2CD,Toyota,Corolla,Car,2019,20000,42006,43935,440000,50,In Service,
VEH0002,3EF4GH,Mazda,CX-5,SUV,2017,30000,70290,76729,460000,70,In Service,
VEH0003,5IJ6KL,Hyundai,Tucson,SUV,2020,10000,24122,29158,410000,70,In Service,
VEH0004,7MN8OP,Ford,Ranger,Truck,2018,40000,77381,84681,460000,60,In Service,
VEH0005,9QR0ST,Volkswagen,Golf,Car,2016,45000,99578,107874,480000,50,In Service,
VEH0006,2UV3WX,Toyota,Camry,Car,2021,25000,53044,53580,440000,50,In Service,
VEH0007,4YZ5AB,Mazda,Mazda3,Car,2019,22000,46868,50987,450000,50,In Service,
VEH0008,6CD7EF,Hyundai,Elantra,Car,2020,18000,31842,38180,490000,50,In Service,
VEH0009,8GH9IJ,Ford,F-150,Truck,2019,50000,87346,91789,420000,60,In Service,
VEH0010,0KL1MN,Volkswagen,Jetta,Car,2018,15000,21189,29459,400000,50,In Service,
VEH0011,2OP3QR,Toyota,RAV4,SUV,2021,28000,60720,67951,470000,70,In Service,
VEH0012,4ST5UV,Mazda,CX-9,SUV,2019,35000,79903,84081,440000,70,In Service,
VEH0013,6WX7YZ,Hyundai,Sonata,Car,2020,23000,44079,50050,460000,50,In Service,
VEH0014,8AB9CD,Ford,Escape,SUV,2018,27000,66430,67417,490000,70,In Service,
VEH0015,0EF1GH,Volkswagen,Passat,Car,2017,17000,28765,35687,470000,50,In Repair,
VEH0016,2IJ3KL,Toyota,Highlander,SUV,2021,32000,67890,75274,420000,70,Not in Service,
VEH0017,4MN5OP,Mazda,MX-5 Miata,Car,2020,28000,56789,63333,430000,50,In Repair,
VEH0018,6QR7ST,Hyundai,Santa Fe,SUV,2020,26000,54321,63343,450000,70,Not in Service,
VEH0019,8UV9WX,Ford,Escape,SUV,2019,29000,65432,72671,420000,70,Not in Service,
VEH0020,0YZ1AB,Volkswagen,Tiguan,SUV,2020,25000,54321,62792,450000,70,In Repair,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
