ProductID,Name,Winery,WineType,Year,Price,Region,Country,Rating,NumberOfRatings
p000000,Gaia & Rey Langhe 2017,Gaja,White Wine,2017,$184.2,Langhe,,,
p000001,Pago Negralada Tempranillo 2015,Abadia Retuerta,Red Wine,2015,$67.26,Castilla y León,,,
p000002,Talò Primitivo di Manduria 2018,San Marzano,Red Wine,2018,$8.4,Primitivo di Manduria,,,
p000003,Reserva Sauvignon Blanc 2016,Caliterra,White Wine,2016,$8.72,Central Valley,,,
p000004,Cabernet Sauvignon 2016,Bogle,Red Wine,2016,$16.39,California,,,
p000005,Old Vines Primitivo 2015,Azienda Agricola Morella,Red Wine,2015,$38.7,Puglia,,,
p000006,Castillon - Côtes de Bordeaux 2016,Château Cap de Faugères,Red Wine,2016,$15.95,Castillon - Côtes de Bordeaux,,,
p000007,Syrah 2017,Seifried Estate,Red Wine,2017,$16.77,Nelson,,,
p000008,Paradies Riesling 2018,Korrell,White Wine,2018,$22.7,Nahe,,,
p000009,Ungeheuer GG 2018,Von Winning,White Wine,2018,$34.0,Pfalz,,,
p000010,Vinho Verde 2017,Casa de Vila Nova,White Wine,2017,$8.92,Vinho Verde,,,
p000011,Castillo de Enguera Reserva 2015,Finca Enguera,Red Wine,2015,$8.95,Valencia,,,
p000012,Cistus Rouge Faugères 2017,Château de la Liquiere,Red Wine,2017,$19.3,Languedoc,,,
p000013,Prestige Cabernet Sauvignon 2018,Wilhelm Walch,Red Wine,2018,$12.0,Südtirol - Alto Adige,,,
p000014,Chardonnay 2016,Food Truck,White Wine,2016,$8.67,McLaren Vale,,,
p000015,The Whip White Blend 2017,Murrieta's Well,White Wine,2017,$26.31,Livermore Valley,,,
p000016,Grau - und Weissburgunder Langenloiser Spiegel 2016,Weingut Bründlmayer,White Wine,2016,$20.54,Niederösterreich,,,
p000017,Riesling Brut 2016,Reichsrat von Buhl,Sparkling Wine,2016,$14.9,Pfalz,,,
p000018,Barolo 2010,Aurelio Settimo,Red Wine,2010,$39.19,Barolo,,,
p000019,Otazu Premium Cuvée 2016,Bodega Otazu,Red Wine,2016,$8.99,Navarra,,,
p000020,Sperber Pinot Noir 2013,Salwey,Red Wine,2013,$35.74,Baden,,,
p000021,Pinotage 2017,Aaldering,Red Wine,2017,$22.9,Stellenbosch,,,
p000022,Tannat (Grande Vindima) 2010,Lidio Carraro,Red Wine,2010,$73.06,Encruzilhada do Sul,,,
p000023,In Signo Leonis 2015,Heribert Bayer,Red Wine,2015,$35.09,Burgenland,,,
p000024,Gran Reserva 2018,Escudo Rojo,Red Wine,2018,$11.83,Maipo Valley,,,
p000025,Tenuta Greppone Mazzi Brunello di Montalcino 2013,Ruffino,Red Wine,2013,$50.67,Brunello di Montalcino,,,
p000026,Chianti Classico Riserva 2013,Monte Guelfo,Red Wine,2013,$15.51,Chianti Classico,,,
p000027,St. Magdalener Rondell 2018,Franz Gojer,Red Wine,2018,$14.9,Südtirol - Alto Adige,,,
p000028,Barbera d'Alba 2018,Cordero di Montezemolo,Red Wine,2018,$18.35,Barbera d'Alba,,,
p000029,Bordeaux 2007,Château Marjosse,Red Wine,2007,$11.6,Bordeaux,,,
p000030,Sotanum 2007,Les Vins de Vienne - Cuilleron-Gaillard-Villard,Red Wine,2007,$38.01,Collines Rhodaniennes,,,
p000031,Reserve Cabernet Sauvignon 2014,Robert Mondavi,Red Wine,2014,$178.96,Oakville,,,
p000032,Ca'Marcanda Promis Toscana 2017,Gaja,Red Wine,2017,$30.9,Toscana,,,
p000033,The Blend 2014,Primus,Red Wine,2014,$14.9,Colchagua Valley,,,
p000034,Dornenvogel Zweigelt 2017,Glatzer,Red Wine,2017,$12.87,Carnuntum,,,
p000035,Vision 2015,Reunion,Red Wine,2015,$44.99,Burgenland,,,
p000036,Clos d'Ora 2015,Gérard Bertrand,Red Wine,2015,$229.0,Minervois La Livinière,,,
p000037,Ganadero 2017,Canopy,Red Wine,2017,$7.45,Méntrida,,,
p000038,Selected Vines 2009,Azamor,Red Wine,2009,$19.4,Alentejo,,,
p000039,Otto Muri 2016,Collazzi,White Wine,2016,$12.14,Toscana,,,
p000040,Cepparello Red 2015,Isole e Olena,Red Wine,2015,$77.55,Toscana,,,
p000041,Monte Llano Tempranillo Rioja 2017,Monte Llano,Red Wine,2017,$6.9,Rioja,,,
p000042,Côtes du Rhône 2017,Xavier Vignon,Red Wine,2017,$8.95,Côtes-du-Rhône,,,
p000043,Merlot - Petit Verdot Penedès 3055 2017,Jean Leon,Red Wine,2017,$13.36,Penedès,,,
p000044,Crianza 2016,Altos Ibéricos,Red Wine,2016,$8.9,Rioja,,,
p000045,Bosco di Gica Valdobbiadene Prosecco Superiore Brut N.V.,Adami,Sparkling Wine,N.V.,$12.9,Conegliano-Valdobbiadene Prosecco,,,
p000046,Châteauneuf-du-Pape 2016,Domaine Pierre André,Red Wine,2016,$39.15,Châteauneuf-du-Pape,,,
p000047,Amarone della Valpolicella Classico 2011,Bertani,Red Wine,2011,$92.15,Amarone della Valpolicella Classico,,,
p000048,Riesling 2018,Weiser-Künstler,White Wine,2018,$11.5,Mosel,,,
p000049,Douro Tinto 2017,Lavradores de Feitoria,Red Wine,2017,$6.77,Douro,,,
p000050,Nuits-Saint-Georges 2015,Domaine des Perdrix,Red Wine,2015,$115.7,Nuits-Saint-Georges,,,
p000051,Blason de L’Evangile Pomerol 2014,Château l'Évangile,Red Wine,2014,$63.44,Pomerol,,,
p000052,Gavi 2019,Villa Sparina,White Wine,2019,$13.5,Gavi,,,
p000053,Blason d'Aussières Corbières 2015,Château d’Aussières,Red Wine,2015,$24.9,Corbières,,,
p000054,Prail Sauvignon 2015,Colterenzio (Schreckbichl),White Wine,2015,$13.6,Trentino-Alto Adige,,,
p000055,Rufus Stone Heathcote Shiraz 2018,Tyrrell's,Red Wine,2018,$19.3,Heathcote,,,
p000056,Viña Cubillo 2009,R. López de Heredia Viña Tondonia,Red Wine,2009,$14.9,Rioja Alta,,,
p000057,Magna Malbec 2018,Callia,Red Wine,2018,$8.95,San Juan,,,
p000058,Tinto 2017,Quinta de Porrais,Red Wine,2017,7.8 dollars,Douro,,,
p000059,Torricella 2017,Ricasoli,White Wine,2017,$14.95,Toscana,,,
p000060,Jeunes Vignes 2016,Domaine Clos du Rouge Gorge,Red Wine,2016,$24.75,Côtes Catalanes,,,
p000061,Haut-Médoc 2008,Château Fontesteau,Red Wine,2008,$15.95,Haut-Médoc,,,
p000062,Le Volte 2018,Ornellaia,Red Wine,2018,$18.4,Toscana,,,
p000063,Bramare Malbec Uco Valley 2016,Viña Cobos,Red Wine,2016,$33.99,Uco Valley,,,
p000064,Bordeaux Supérieur 2016,Château Pierrail,Red Wine,2016,$13.5,Bordeaux Supérieur,,,
p000065,Pinot Rosé 2017,The Ned,Rose,2017,$12.9,Marlborough,,,
p000066,Fulgeo Negroamaro Salento 2016,San Donaci,Red Wine,2016,$12.9,Salento,,,
p000067,Marienthal Trotzenberg Spätburgunder 2016,Julia Bertram,Red Wine,2016,$38.0,Ahr,,,
p000068,Rosso di Montalcino 2017,Altesino,Red Wine,2017,$15.95,Rosso di Montalcino,,,
p000069,Vinha do Almo Tinto 2016,Herdade do Perdigão,Red Wine,2016,$8.29,Alentejano,,,
p000070,Pomerol 2016,Château de Sales,Red Wine,2016,$34.95,Pomerol,,,
p000071,Tamiz de Teófilo Reyes 2017,Bodegas Reyes,Red Wine,2017,$8.72,Ribera del Duero,,,
p000072,Vivo Blu N.V.,Mionetto,Sparkling Wine,N.V.,$8.39,Veneto,,,
p000073,Rasteau Vieilles Vignes 2016,Tardieu-Laurent,Red Wine,2016,$20.47,Rasteau,,,
p000074,1300 Malbec 2018,Andeluna,Red Wine,2018,$7.7,Tupungato,,,
p000075,Valpolicella Ripasso Classico Superiore 2008,Le Ragose,Red Wine,2008,$9.56,Valpolicella Ripasso,,,
p000076,Crianza Rioja 2015,Ramón Bilbao,Red Wine,2015,$8.95,Rioja,,,
p000077,Sauvignon Blanc Blush 2019,Silver Moki,Rose,2019,$7.95,Marlborough,,,
p000078,Petit Bourgeois Sauvignon Blanc 2019,Henri Bourgeois,White Wine,2019,$9.95,Val de Loire,,,
p000079,Cabernet Sauvignon 2013,L. A. Cetto,Red Wine,2013,$8.65,Valle de Guadalupe,,,
p000080,Margaux (Grand Cru Classé) 2017,Château Giscours,Red Wine,2017,$70.19,Margaux,,,
p000081,Montepulciano d'Abruzzo 2018,Caldora,Red Wine,2018,$4.63,Montepulciano d'Abruzzo,,,
p000082,Alma Terra 2018,Bellavista,White Wine,2018,$23.12,Franciacorta,,,
p000083,Fiano Salento Roycello 2018,Tormaresca,White Wine,2018,$13.25,Salento,,,
p000084,Vigna Kastelaz Gewürztraminer 2015,Elena Walch,White Wine,2015,$31.91,Südtirol - Alto Adige,,,
p000085,Reserve Cabernet Sauvignon Mendoza 2017,Bodega Piedra Negra,Red Wine,2017,$12.5,Mendoza,,,
p000086,Merlot Riserva 2015,Castel Sallegg,Red Wine,2015,$20.9,Südtirol - Alto Adige,,,
p000087,Horizont Grüner Veltliner 2018,Herbert Zillinger,White Wine,2018,$11.67,Weinviertel,,,
p000088,Château Paul Mas Coteaux du Languedoc Clos des Mures 2016,Paul Mas,Red Wine,2016,$25.79,Languedoc,,,
p000089,Alteni di Brassica Langhe 2017,Gaja,White Wine,2017,$109.0,Langhe,,,
p000090,Il Leo Chianti Superiore 2016,Ruffino,Red Wine,2016,$10.57,Chianti,,,
p000091,Douro Fabelhaft Tinto 2018,Niepoort,Red Wine,2018,$8.95,Douro,,,
p000092,Riesling Kabinett 2017,Kloster Eberbach,White Wine,2017,$11.49,Rheingau,,,
p000093,Ripa della Volta Valpolicella Ripasso 2016,Ottella,Red Wine,2016,$20.27,Valpolicella Ripasso,,,
p000094,Petit Clos Malbec 2015,Jean-Luc Baldès,Red Wine,2015,$14.38,Cahors,,,
p000095,Le Bombarde Cannonau di Sardegna 2018,Santa Maria La Palma,Red Wine,2018,6.5 dollars,Cannonau di Sardegna,,,
p000096,Côtes du Rhône 2018,Rocca Maura,Red Wine,2018,$6.64,Côtes-du-Rhône,,,
p000097,Estro Chardonnay 2018,Astoria,White Wine,2018,$9.99,Veneto,,,
p000098,Lalande-de-Pomerol 2015,Château La Fleur de Boüard,Red Wine,2015,$37.95,Lalande-de-Pomerol,,,
p000099,Chorey-Les-Beaune 2017,Joseph Drouhin,Red Wine,2017,$23.88,Chorey-lès-Beaune,,,
p000100,Vinsobres Les Cornuds 2017,Famille Perrin,Red Wine,2017,$11.9,Vinsobres,,,
p000101,Magic Mountain Rüdesheimer Riesling 2016,Leitz,White Wine,2016,$17.5,Rheingau,,,
p000102,Estate Chardonnay 2016,Errazuriz,White Wine,2016,8.9 dollars,Casablanca Valley,,,
p000103,Shiraz 2016,Steenberg,Red Wine,2016,$19.99,Constantia,,,
p000104,Saint Cosme Saint Joseph 2014,Château de Saint Cosme,Red Wine,2014,$22.0,Saint-Joseph,,,
p000105,Riesling Brut N.V.,Dr. Von Bassermann-Jordan,Sparkling Wine,N.V.,$13.95,Pfalz,,,
p000106,Hussonet Cabernet Sauvignon Gran Reserva 2018,Haras de Pirque,Red Wine,2018,$15.49,Maipo Valley,,,
p000107,Rioja Bordón Reserva 2011,Franco-Espanolas,Red Wine,2011,$10.85,Rioja,,,
p000108,Mar i Muntanya 2014,Domaine de l'Horizon,Red Wine,2014,$9.25,Côtes Catalanes,,,
p000109,MUAC 2015,Terra de Falanis,Red Wine,2015,$10.95,Mallorca,,,
p000110,Vieilles Vignes Chinon 2011,Domaine Gouron,Red Wine,2011,$16.7,Chinon,,,
p000111,Salzberg 2012,Heinrich,Red Wine,2012,$77.0,Burgenland,,,
p000112,Mas La Plana Cabernet Sauvignon 2002,Torres,Red Wine,2002,$46.29,Penedès,,,
p000113,Riesling Brut N.V.,Bernard-Massard,Sparkling Wine,N.V.,$10.49,Moselle,,,
p000114,Loibner Grüner Veltliner Smaragd Vinothekfüllung 2017,Weingut Knoll,White Wine,2017,$45.0,Wachau,,,
p000115,Yamhill Cuvée Pinot Noir 2013,Domaine Serene,Red Wine,2013,$69.26,Willamette Valley,,,
p000116,Alea Riesling 2018,Grosset,White Wine,2018,$25.9,Clare Valley,,,
p000117,Blanc de Blancs Champagne (Extra Cuvée de Réserve) 2012,Pol Roger,Sparkling Wine,2012,$77.79,Champagne,,,
p000118,Châteauneuf-du-Pape Blanc 2017,Château de Nalys,White Wine,2017,$66.0,Châteauneuf-du-Pape,,,
p000119,Chardonnay 2018,Domaines Astruc,White Wine,2018,$6.5,Pays d'Oc,,,
p000120,Saint-Émilion Grand Cru 2005,Château Rol Valentin,Red Wine,2005,$76.95,Saint-Émilion Grand Cru,,,
p000121,Vernaccia di San Gimignano 2019,Teruzzi & Puthod,White Wine,2019,$8.68,Vernaccia di San Gimignano,,,
p000122,Brunello di Montalcino 2011,Ciacci Piccolomini d'Aragona,Red Wine,2011,$34.44,Brunello di Montalcino,,,
p000123,Bordeaux 2014,Château Pey de Faure,Red Wine,2014,$6.0,Bordeaux,,,
p000124,Poetry Cabernet Sauvignon 2019,Flagstone,Red Wine,2019,$8.95,Western Cape,,,
p000125,Margaux (Grand Cru Classé) 2017,Château Brane-Cantenac,Red Wine,2017,$86.76,Margaux,,,
p000126,Bianco 2019,Vergel,White Wine,2019,$6.2,Valencia,,,
p000127,Crianza 2012,Jordán de Asso,Red Wine,2012,$11.19,Cariñena,,,
p000128,Saint-Julien (Grand Cru Classé) 2017,Château Lagrange,Red Wine,2017,$48.55,Saint-Julien,,,
p000129,Orígenes 2017,Dehesa de Luna,Red Wine,2017,$10.42,Castilla y León,,,
p000130,Weissburgunder Trocken 2018,Heinrich Vollmer,White Wine,2018,$5.33,Pfalz,,,
p000131,Gigondas Valbelle 2012,Château de Saint Cosme,Red Wine,2012,$49.95,Gigondas,,,
p000132,Le Sabbie dell’Etna Rosso 2017,Firriato,Red Wine,2017,$10.62,Etna,,,
p000133,Rioja Reserva 2015,Palacio de Primavera,Red Wine,2015,$14.9,Rioja,,,
p000134,Plăvaie 2016,Livia,White Wine,2016,$5.9,Vrancea,,,
p000135,Cabernet Sauvignon - Merlot 2015,Enate,Red Wine,2015,$9.5,Somontano,,,
p000136,Gigondas 2015,Domaine des Bosquets,Red Wine,2015,$20.95,Gigondas,,,
p000137,Volnay Santenots-Du-Milieu Premier Cru 2012,Domaine des Comtes Lafon,Red Wine,2012,$119.0,Volnay Premier Cru,,,
p000138,Chardonnay 2016,Hess Select,White Wine,2016,$12.51,Monterey,,,
p000139,San Carlo Moscato d'asti 2017,Montalbera,Sparkling Wine,2017,$9.9,Moscato d'Asti,,,
p000140,Madrechiesa Morellino di Scansano Riserva 2015,Terenzi,Red Wine,2015,$38.16,Morellino di Scansano,,,
p000141,Sauvignon Blanc 2018,Reyneke,White Wine,2018,$17.6,Stellenbosch,,,
p000142,Retsina 2018,Papagiannakos,White Wine,2018,7.2 dollars,Markopoulo,,,
p000143,Baccanera 2016,Lo Zoccolaio,Red Wine,2016,$11.6,Langhe,,,
p000144,Frühlingsplätzchen Riesling GG 2013,Emrich-Schönleber,White Wine,2013,$37.95,Nahe,,,
p000145,Sankt Nikolaus Riesling Trocken 2017,Peter Jakob Kühn,White Wine,2017,$42.89,Rheingau,,,
p000146,Palpite Reserva 2017,Fitapreta,Red Wine,2017,$19.3,Alentejano,,,
p000147,Chardonnay Puglia 2018,Tormaresca,White Wine,2018,$9.56,Puglia,,,
p000148,Clos Marole Givry 1er Cru 2017,Joblot,Red Wine,2017,$31.9,Givry 1er Cru 'Clos Marole',,,
p000149,Haut-Médoc (Grand Cru Classé) 2015,Château de Camensac,Red Wine,2015,$45.0,Haut-Médoc,,,
p000150,Graves 2014,Château Villa Bel Air,Red Wine,2014,$19.47,Graves,,,
p000151,Chardonnay 2018,Hess Select,White Wine,2018,$11.9,Monterey,,,
p000152,Brunello di Montalcino Riserva 2010,Conti Costanti,Red Wine,2010,$144.53,Brunello di Montalcino,,,
p000153,Blaufränkisch 2017,Umathum,Red Wine,2017,$10.93,Burgenland,,,
p000154,Toar Valpolicella Classico Superiore 2016,Masi,Red Wine,2016,$15.6,Valpolicella Classico,,,
p000155,Ritterpfad Riesling Kabinett 2015,Van Volxem,White Wine,2015,$17.95,Mosel,,,
p000156,Founders' Estate Cabernet Sauvignon 2017,Beringer,Red Wine,2017,$11.85,California,,,
p000157,El Rincón de Nekeas Chardonnay 2018,Bodegas Nekeas,White Wine,2018,$8.54,Navarra,,,
p000158,Cepa x Cepa Garnacha 2018,Bodegas Nekeas,Red Wine,2018,$6.99,Navarra,,,
p000159,Brunello di Montalcino 2010,Piancornello,Red Wine,2010,$38.7,Brunello di Montalcino,,,
p000160,Grand Cru Apalta 2014,Caballo Loco,Red Wine,2014,$27.2,Colchagua Valley,,,
p000161,Castalides Édition La Grange 2016,Domaine La Grange,Red Wine,2016,$15.67,Languedoc,,,
p000162,Chardonnay 2018,Planeta,White Wine,2018,$22.8,Menfi,,,
p000163,Saint-Julien (Grand Cru Classé) 2009,Château Ducru-Beaucaillou,Red Wine,2009,$339.0,Saint-Julien,,,
p000164,Kalkmergel Riesling 2017,Rings,White Wine,2017,$9.26,Pfalz,,,
p000165,Brunello di Montalcino 2014,Tenuta di Sesta,Red Wine,2014,$33.9,Brunello di Montalcino,,,
p000166,Saint-Émilion Grand Cru 2015,Château Clos Saint Emilion Philippe,Red Wine,2015,$22.35,Saint-Émilion Grand Cru,,,
p000167,Leonia Brut Millesimato Pomino 2015,Castello Pomino,Sparkling Wine,2015,$30.19,Pomino,,,
p000168,Louis Mel Sauvignon Blanc 2017,Wente,White Wine,2017,$12.23,Livermore Valley,,,
p000169,Gran Reserva Cabernet Sauvignon 2016,TerraNoble,Red Wine,2016,$13.5,Colchagua Valley,,,
p000170,L'Ancien Vieilles Vignes Beaujolais 2018,Terres Dorées,Red Wine,2018,$12.9,Beaujolais,,,
p000171,Cabernet Sauvignon 2016,Spellbound,Red Wine,2016,$14.49,California,,,
p000172,Gemischter Satz 2019,Zahel,White Wine,2019,$8.8,Wien,,,
p000173,Dits del Terra 2016,Terroir Al Límit Soc. Lda,Red Wine,2016,$60.0,Priorat,,,
p000174,Barbera d'Asti Superiore Tre Roveri 2017,Pico Maccario,Red Wine,2017,$16.9,Barbera d'Asti,,,
p000175,Sedàra 2018,Donnafugata,Red Wine,2018,$7.5,Sicilia,,,
p000176,Enira Petit 2016,Bessa Valley,Red Wine,2016,$8.87,Pazardjik,,,
p000177,Toscana 2015,Orma,Red Wine,2015,$56.16,Toscana,,,
p000178,Central Coast Chardonnay 2016,William Hill,White Wine,2016,$13.9,Central Coast,,,
p000179,Albariño 2018,Pazo Barrantes,White Wine,2018,$15.5,Rías Baixas,,,
p000180,La Napoleon Beaujolais Villages 2017,Clotaire Michal,Red Wine,2017,$35.0,Beaujolais-Villages,,,
p000181,Vino Nobile di Montepulciano 2016,Tenuta di Gracciano della Seta,Red Wine,2016,$12.37,Vino Nobile di Montepulciano,,,
p000182,Chassagne-Montrachet 1er Cru Morgeot Monopole Clos de La Chapelle Blanc 2017,Louis Jadot - Domaine Duc de Magenta,White Wine,2017,$98.15,Chassagne-Montrachet 1er Cru 'Morgeot',,,
p000183,Le Clos Rouge Crozes-Hermitage 2010,Delas,Red Wine,2010,$48.32,Crozes-Hermitage,,,
p000184,Ronnie Melck Shiraz 2016,Muratie,Red Wine,2016,$14.19,Stellenbosch,,,
p000185,Inzolia - Chardonnay 2018,Roccaperciata,White Wine,2018,$5.68,Terre Siciliane,,,
p000186,Shiraz - Petit Verdot 2018,Barramundi,Red Wine,2018,$6.5,South Eastern Australia,,,
p000187,Cristal Brut Champagne (Millésimé) 2007,Louis Roederer,Sparkling Wine,2007,$223.23,Champagne,,,
p000188,Saint-Émilion Grand Cru 2010,Château Pontet Clauzure,Red Wine,2010,$16.25,Saint-Émilion Grand Cru,,,
p000189,L'U Umbria Bianco 2018,Lungarotti,White Wine,2018,$10.71,Umbria,,,
p000190,Valpolicella Classico 2018,Cesari,Red Wine,2018,$7.6,Valpolicella Classico,,,
p000191,Sauvignon Blanc Bordeaux 2018,Dourthe N°1,White Wine,2018,770 cents,Bordeaux,,,
p000192,Saint-Julien (Grand Cru Classé) 2011,Château Talbot,Red Wine,2011,$83.9,Saint-Julien,,,
p000193,Steinriesler 2004,Nikolaihof,White Wine,2004,$49.0,Wachau,,,
p000194,Reyes de Aragón El Monje Brut Nature N.V.,Bodegas Langa,Sparkling Wine,N.V.,$11.8,Cava,,,
p000195,Pauillac (Grand Cru Classé) 2015,Château Lynch-Bages,Red Wine,2015,$154.99,Pauillac,,,
p000196,Clos du Four Mâcon-Milly-Lamartine 2014,Les Héritiers du Comte Lafon,White Wine,2014,$34.54,Mâcon-Milly-Lamartine,,,
p000197,Chianti 2018,Grati,Red Wine,2018,$6.9,Chianti,,,
p000198,Les Carlines Terrasses du Larzac 2013,Mas Haut-Buis,Red Wine,2013,$9.0,Terrasses du Larzac,,,
p000199,Millésimé Crémant du Jura Brut 2014,Tissot-Maire,Sparkling Wine,2014,$13.9,Crémant du Jura,,,
p000200,Tenuta Guado al Tasso Il Bruciato Bolgheri 2018,Antinori,Red Wine,2018,$18.42,Bolgheri,,,
p000201,Pian delle Vigne Brunello di Montalcino 2015,Antinori,Red Wine,2015,$55.0,Brunello di Montalcino,,,
p000202,Riserva del Conte Contea di Sclafani 2010,Tasca d'Almerita,Red Wine,2010,$65.86,Contea di Sclafani,,,
p000203,Saint-Émilion Grand Cru (Grand Cru Classé) 2015,Château Fleur Cardinale,Red Wine,2015,$48.95,Saint-Émilion Grand Cru,,,
p000204,Paolo e Carlo Primitivo di Manduria Riserva Sessantasei 66 2016,Conte di Campiano,Red Wine,2016,$8.66,Primitivo di Manduria,,,
p000205,Chardonnay - Pinot Noir 2018,Leopard’s Leap,Rose,2018,$7.77,Western Cape,,,
p000206,Chardonnay (Barrel Fermented) 2017,Bergsig Estate,White Wine,2017,$13.75,Breede River Valley,,,
p000207,Portillo Sauvignon Blanc 2019,Salentein,White Wine,2019,$6.5,Uco Valley,,,
p000208,SL Riesling Trocken 2018,Schloss Lieser,White Wine,2018,$8.4,Mosel,,,
p000209,Millesimato Brut 2014,Monzio Compagnoni,Sparkling Wine,2014,$17.9,Franciacorta,,,
p000210,Barbera d'Alba La Martina 2018,Broccardo,Red Wine,2018,$10.1,Barbera d'Alba,,,
p000211,Talò Verdeca 2019,San Marzano,White Wine,2019,$8.9,Puglia,,,
